rrn,anomaly_score
JGONN5NTTBIA,0.11918198084492315
7DWY6HW77AAQ,0.11460085202620968
22NE7NBTAPOA,-0.007886115930882232
GSO5ANGPOGMQ,-0.1319662631429202
Y47ICDUWWWDQ,-0.08154237384025737
ZACE4Y44N2XA,-0.041606203862002145
DQ6P3TTBUEWA,-0.03775207142751119
DPBHWCWEAF3A,0.009715856371754483
PXM5YMCGABNQ,0.008640248757242286
PSGEXQXZSWFQ,0.036012437428659616
YU4KRGB3WLYQ,-0.07292986351639591
NHDEBEAEB3BA,-0.06532932667926855
TLXJ7VSWBOUQ,-0.06532932667926855
QZI67A3DH5RQ,-0.06457002589353472
D4NJCSX6ZYMA,-0.028192844246046567
MGKYSVQLJ3ZQ,-0.038272134991143736
T4QQA4UUUEFA,0.04013137544402573
6XR6DMPEG3DA,-0.06532242728387522
TUXTE3QEKIRA,0.005873452735986162
7VUP2AWGOCPA,-0.06964446422588028
3MEBIMLAULFQ,0.013170903157795288
DETCDYZO5YMA,0.049500776072445685
63QY4U2GN7FA,0.019709884245085352
7QDTYD3QVFAA,0.012044539890869621
JAPO6EQMEURQ,-0.03138408246160035
COPASY36A2YQ,0.04994147565674284
WFIQGHNYRV3A,0.05181606359154156
YDVAG7MNIFIQ,-0.031027262755518648
KPWK3JB3F2DA,0.013431280884102281
R23FXMHXIUCA,-0.076245842531044
5UHWJGU3BNDQ,-0.005557337606374835
WDSBMD4ZSGAQ,0.037824908385415246
JW5F7PYSA6EA,-0.04724578858331324
3XWH3JLELEZQ,0.0037874043554299575
6ZDVW7FQVCLQ,-0.09053228233396587
ROJ65NH6LU3A,-0.09371656666818845
OWWHBRG6TP3Q,0.005617519588057451
LFJE3YYZDYWA,-0.024778494604606738
IOOOIO5YC26A,-0.019407173986938864
7TRK4AGLGPEA,-0.044361530263636484
5ZNWLYH7JXIQ,-0.04931617903176594
P6IBV2NA5K3A,0.03221636898835384
KKE2APWQN5YQ,-0.12496433816010494
ZVODGCA7NHTQ,-0.03364850937030667
BFJQWFF2RHJA,0.06880534309940789
2BYK7WUVVRFA,-0.0694353631693782
QEBZXBW5WKIQ,-0.1856133302375635
P36MVKBGJCUQ,-0.06981936517208415
HPRCVB3U7N5A,0.0391790913288691
LRFOOD7AXFIQ,0.010007996536849195
DV764YQBA42A,-0.13180932550388463
WIF362VCZQXQ,0.06460068287225995
SKH735C6COAQ,2.940255710542905e-05
J2RFEAZS4Q2A,-0.09567533326414096
FTWOQ5RNWH6Q,0.04603180233667237
TMDBWLUZI3RA,0.010252296987253662
UU6NPLPO6IPA,0.03939512687294172
P54XBADANPBA,-0.08886270249995082
IGPLIEC4LIQA,-0.04005526382263319
FFOKLPHMJ3SQ,0.12724358727665674
XS3CXYGCN5DQ,0.06874430663163233
XKG6IJ6RJWUA,-0.12392439728118171
OOAD4YLNRM4Q,0.049325436580666515
QKUCDCHZL64Q,0.07040791861296658
IDIM6KTKAWBA,-0.04656699003718762
ZTHTYNKUVBCA,-0.04685288673392879
NGT7NVWVTF5Q,-0.06957452334231135
WZG4PTHLE2EQ,0.08528466300109289
DWJVKG2MWJJA,0.013155431143746454
O4ATPU47FBMQ,0.03614709726772186
MN4IFNA7KEWQ,0.01119498996535806
3HSAO4QNKVUQ,0.008094965753345118
XQRDZPJAWNXQ,0.004888292413307793
HAYHOQPSNSUA,0.03368268506810995
6237KBRCJPDQ,0.012940577385098073
DT6WVSUAC7AA,0.04266426705888432
MXSJFG3KSE4Q,0.035788384549421626
IWZU5OCQ5QNQ,-0.04673295412806783
JEGQ4HGG7PYQ,-0.06454555886484464
B2BUPJWMVBJQ,0.03006914050552606
AINM2M66FBCQ,0.031944140086438644
RYZMHG4OTSFA,0.023863909323269483
Q6EXS2N4K32A,0.010504486868930074
GRYZV4OVIOFQ,-0.01128519478484219
XRZXWFJIJOEQ,0.05465911125829487
3WG4YDSKCBQQ,-0.02043170168820757
L3QZPRAXY6BA,-0.010343965190328597
XKAK44OWDBEQ,-0.015294118768202802
WZILUWRI7QXQ,-0.07097744960642655
EJHIFXKNMFYA,-0.06577583803633597
5HEDPIYDITAA,-0.06282740137860415
J6FDAT4J53QQ,-0.06908460448777337
DKV7CUVWJTLQ,-0.07756106292356285
2WZMGPYPXLGA,0.033822117799553075
OJJT2I766M2A,0.03772968014105388
RZTCNEVWAT7Q,0.0468447279683919
HQIGN63K6DEQ,0.0054378713147232305
YPSPT4AGCXIQ,0.050740364422380446
KTYZQQLCIJ4A,-0.07853330552316812
VPWGXSOUFIQQ,-0.08269131283736025
H26KED3LCWEQ,-0.06775300714491433
B5XJ72VMHWCA,-0.08270399870161921
LUS3P7DGQI7Q,0.020190009657683583
UOONK5ZB6VWQ,0.0072115119872087075
FXIOOWPW3AQQ,-0.021046391925752805
ZFWWPVNTRRMQ,0.0019108148618528498
UKLL2PGWOXNA,-0.001859030636730541
QBCOKZL5SLTA,-0.0671665750738018
RIASAKA2NZXA,-0.06398585005761742
ANQYYO2G3DUA,-0.06281717607389564
YSFEWUBIUN3Q,-0.0609306037361646
BJLUP6Z3DVUA,-0.10221545079050859
UCYAS6WFSM7Q,-0.008222694661277397
4Z3FTTCBIBDQ,-0.05855084969733376
6TTPNYA3GPIQ,-0.06244037059510005
B57DDHB2TN3Q,0.01965733856367663
NFUHF3L2U3CA,0.029095176834925296
6YL5DD4JDC6Q,0.028685354425750598
JONYU7IK2QKA,0.019978863764460453
KZ2DY5CSZXOQ,-0.020105320270605798
N6JGMPGY4I3A,-0.06886751707043831
LDQB5YQPR75A,-0.06886751707043831
7QGAYN54VU6Q,-0.059092511518647084
UVTHD2GNFX2Q,0.03022951946463459
7EZB2QIC2QYA,-0.04065019885402904
PMNJRN3W4NIA,-0.06853291266149114
JCJ6DRIZIXGQ,-0.15824868163149003
EH5IPJOGPFVQ,-0.09409949886666064
7SOK546VGEZQ,-0.09270051566588017
U4AIA3DKL5SQ,0.03405087500742532
7EXWXEZVPJJQ,0.010192618838599676
WXZLVYCKBPIA,0.0539634974101974
SJZWM5IVXIAA,-0.09013545730034406
MIUDBUFK2TDA,-0.045410619867080115
A4J2TIU47AVQ,0.06816030534704148
RANBOVVT4HYQ,0.0321924856275243
HIQT6AW6ANKQ,0.032157895434090034
C6CYXLCF6Q4A,0.15145216245045623
WXVLYVNOWJ3Q,-0.00061189709436682
VONBT7ZXKQ4Q,0.04283095347857224
KJA7S64KI25Q,0.041430781050746435
KN3J3QFBWVLQ,0.031056367874717272
FQSIWBQOPSHQ,-0.04095404815662734
UAAB52WWOJ7A,-0.044306125703784505
7KV4VPPJHUVA,-0.16101799828602142
YBODH5N26YYQ,-0.0719416598423131
